position,effective_radiation_temperature,epsilon_effective,spectral_radiance,flowgofluxradiationheat,flowgofluxconductionheat,characteristic_surface_temperature,flowgofluxforcedconvectionheat,heat_budget,channel_width,crystal_fraction,core_temperature,viscosity,yield_strength,density,mean_velocity,crust_temperature,effective_cover_fraction,dphi_dx,dtemp_dx,dphi_dtemp,current_time,dtemp_dt,slope,effusion_rate,channel_depth,tho_0,tho_b
200.0,778.0896803486538,0.95,1.1967730417965232,160678.23745053858,37389.90925416123,774.1934933251106,34168.17787901461,232236.32458371442,8.1382639887466,0.14089856129395092,1380.9727854976643,505.83026740931854,24.40081810952711,1069.2,0.606812862325103,773.15,0.9954230012905884,0.00020668693488076062,-0.03460160740191305,0.005973333333333333,294.2112395430474,1.2598020257162597,0.24569355987356375,3.0025491853441273,0.6079999999999995,24.40081810952711,1551.1260653068107
210.0,776.8034447655846,0.95,1.2199072614553335,216198.2389930073,50614.651710583756,773.5841703183904,46221.12444608129,313034.01514967234,11.02302815717606,0.14296543064275852,1380.626769423645,514.4444297145831,25.434761943906803,1069.2,0.4480078609028774,773.15,0.9966187897809333,0.0002785956986732318,-0.046639904911813364,0.005973333333333333,310.69078475519626,1.2537026419353066,0.1853655295426252,3.0025491853441273,0.6079999999999995,25.434761943906803,1175.3590913341332
220.0,777.7055682639417,0.95,1.1933426089209054,173506.01537295524,40400.69258244996,774.0135762675925,36955.12039603341,250861.82835143863,8.805358413116648,0.14575138762949083,1380.160370374527,526.3261902450804,26.872839350831867,1069.2,0.5608406874173667,773.15,0.9957690203245394,0.0002232633610331358,-0.03737667874438658,0.005973333333333333,333.01182166701926,1.2577417320227908,0.23692228597571496,3.0025491853441273,0.6079999999999995,26.872839350831867,1496.8105646977945
230.0,777.9340008078821,0.95,1.1847071343963222,165089.26347309723,38372.087389631924,774.1234932581532,35129.178689985536,238590.5295527147,8.368375361499796,0.14798402123982218,1379.7866035870832,536.0782506329047,28.06262087489989,1069.2,0.5901268827027812,773.15,0.9955485778467507,0.00021234208444016278,-0.03554834002904511,0.005973333333333333,350.8421970737133,1.2586818651959333,0.25409633391192155,3.0025491853441273,0.6079999999999995,28.06262087489989,1603.047790576538
240.0,775.8607968641583,0.95,1.241134024757558,289305.9170808338,67925.85678119704,773.1408327029002,62094.63286681896,419326.4067288498,14.822293871194894,0.1501074420842238,1379.4311201867927,545.5482958328352,29.22544133274573,1069.2,0.3331740220699407,773.15,0.9974843738971364,0.00037319437377724855,-0.06247673668145902,0.005973333333333333,367.78770539253446,1.248937538757978,0.14804622617243932,3.0025491853441273,0.6079999999999995,29.22544133274573,940.6785963330204
250.0,774.6505473537358,0.95,1.3448477778991248,519665.46722747304,122649.50613698382,772.5705971660498,112102.74715401861,754417.7205184755,26.79130481791828,0.1538393858219963,1378.806352819978,562.6666728047703,31.344057263911257,1069.2,0.18432858343150882,773.15,0.9986074464130944,0.0006714207458854544,-0.11240302665493099,0.005973333333333333,397.8020502621377,1.2431454406030533,0.08772446404996306,3.0025491853441273,0.6079999999999995,31.344057263911257,558.721125568321
260.0,775.0461239018828,0.95,1.2787339014171406,409938.94913209655,96375.69262498438,772.7585980182323,88286.63945951285,594601.2812165938,21.091250251597426,0.16055359328085084,1377.6823225534288,595.06075810532,35.40191074942059,1069.2,0.23414464322685685,773.15,0.9982314322595082,0.0005291864505310428,-0.08859148167372367,0.005973333333333333,452.05299612108917,1.2445932521659595,0.11638640143306535,3.0025491853441273,0.6079999999999995,35.40191074942059,740.5473918632582
270.0,776.5263818959618,0.95,1.1814711885237597,230372.18874831634,53669.408089609235,773.462178662524,49309.1849191981,333350.7817571237,11.76246986467548,0.16584545778616128,1376.7964077366914,622.1255602107229,38.82958717949346,1069.2,0.4198440737518422,773.15,0.9968310106825448,0.0002966773240361419,-0.04966696272926483,0.005973333333333333,494.76163921531213,1.2511427977881278,0.2128271444289492,3.0025491853441273,0.6079999999999995,38.82958717949346,1347.0229663644127
280.0,776.6955752040326,0.95,1.170192141613509,219064.04544796454,50948.560755642546,773.5439553412099,46855.907186066004,316868.5133896731,11.175349527580368,0.1688122310265227,1376.2997381093987,637.9240901953801,40.8420654202537,1069.2,0.44190145938440933,773.15,0.9966647991468762,0.000282008346067872,-0.04721121864975536,0.005973333333333333,518.5800056641637,1.2517623852386002,0.22973195348174943,3.0025491853441273,0.6079999999999995,40.8420654202537,1452.1988523327834
290.0,775.3810107052757,0.95,1.226424738792793,346263.2794012465,81015.82530588265,772.9198911132135,74469.39424992967,501748.4989570589,17.784396422297135,0.17163231448720143,1375.8276259229012,653.3756347960189,42.81668071474454,1069.2,0.2776818030876283,773.15,0.9979029275041348,0.00044654883130943823,-0.07475705881296399,0.005973333333333333,541.2094851275954,1.2455204930827029,0.15101483052280273,3.0025491853441273,0.6079999999999995,42.81668071474454,959.3987848235821
