viscosity,effective_radiation_temperature,position,density,heat_budget,tho_0,spectral_radiance,flowgofluxradiationheat,tho_b,channel_depth,flowgofluxforcedconvectionheat,epsilon_effective,dphi_dx,characteristic_surface_temperature,dtemp_dx,effusion_rate,current_time,dphi_dtemp,core_temperature,channel_width,dtemp_dt,flowgofluxconductionheat,effective_cover_fraction,slope,crystal_fraction,mean_velocity,crust_temperature
45805.20822623612,773.5243733207185,200.0,972.0,2309233.2064725244,25.061808622104756,1.1096295627915003,1826028.0219334501,6288.2688049298795,2.155999999999998,395818.5003363634,0.95,0.0003390317072735824,772.0949788344828,-0.15126262868268675,20.02134125491783,1147.7095402807806,0.00224134480688413,1206.102262613943,94.69014098372503,0.8900666775581204,87386.68420271085,0.9992588596511869,0.3108596258978942,0.14220985765936325,0.09807078427208767,773.15
48945.82845290328,773.5722775892851,210.0,972.0,2031099.4724353813,26.803281103518994,0.9990830371867098,1606371.887768527,7634.662200792071,2.155999999999998,348140.3540417044,0.95,0.00029819730629723773,772.1249764418667,-0.13304392317565153,20.02134125491783,1249.6767068964364,0.00224134480688413,1204.589636327116,83.27906500729142,0.8901329223816079,76587.2306251498,0.9991573498101061,0.3804831684980636,0.14560017473209907,0.11150865332476304,773.15
51900.758972896314,773.5155210874452,220.0,972.0,2329802.02363394,28.39844606431703,1.1080582357854,1842736.0246220385,7060.547712955545,2.155999999999998,399454.8158927156,0.95,0.00034205153272009293,772.0905716722684,-0.15260995616092007,20.02134125491783,1339.355845706189,0.00224134480688413,1203.2591970953595,95.56092213459692,0.88981187555388,87611.18311918591,0.9992656106744753,0.3505801834834902,0.14858214779507145,0.0971771324687378,773.15
55529.31403644368,773.4620401354491,230.0,972.0,2706842.402424861,30.30273682382899,1.2462375142706579,2141139.5713284947,6505.816786446149,2.155999999999998,464237.46659556916,0.95,0.00039740698273452835,772.0581079743057,-0.17730738327896772,20.02134125491783,1442.2607138161534,0.00224134480688413,1201.7330975337502,111.06629801393385,0.8894881894026107,101465.36450079751,0.9993681024673502,0.3219945740386264,0.15200266312227237,0.08361074921164155,773.15
60092.33339155476,773.4110810892917,240.0,972.0,3204461.1719499603,32.617231781082,1.4295482047391235,2535042.7534594974,5952.280549188548,2.155999999999998,549752.0373435107,0.95,0.00047046523450858143,772.0271148149105,-0.2099031050749448,20.02134125491783,1561.8625604003441,0.00224134480688413,1199.9600237009606,131.5337080058255,0.8891549728490833,119666.38114695194,0.9994664031601048,0.29373980504971053,0.15597673294961764,0.07060043033757689,773.15
66023.68909262105,773.3436098888499,250.0,972.0,4272399.968298542,35.50223207748982,1.828544985390861,3380311.622556869,4915.718981354817,2.155999999999998,733250.4755728487,0.95,0.0006272554245919936,771.9857669316108,-0.2798567282755529,20.02134125491783,1703.5047565198984,0.00224134480688413,1197.860992650211,175.45270538790118,0.8887330795303828,158837.87016882485,0.9995999454146159,0.24145215292336228,0.16068138529470347,0.05292786092170927,773.15
74934.4480661532,773.2839706493241,260.0,972.0,6081280.8475687215,39.60004505863882,2.507188216646858,4812425.914354777,3934.624293709302,2.155999999999998,1044144.0219409976,0.95,0.0008928275508868111,771.9491202126762,-0.39834457783762467,20.02134125491783,1892.4411659242378,0.00224134480688413,1195.0624253674555,249.86266128409434,0.888286804334873,224710.9112729464,0.9997190663028813,0.19257812994998402,0.1669539395406234,0.03716576274896024,773.15
89928.85949159999,773.2335422112768,270.0,972.0,9542337.688540522,45.94607975838291,3.8108587769909223,7553644.7269911645,3031.0761062869487,2.155999999999998,1639222.7839299592,0.95,0.0014009650601156966,771.9180166924431,-0.625055571910548,20.02134125491783,2161.5060057217142,0.00224134480688413,1191.0789795890792,392.2899210541439,0.8877836504772381,349470.17761939735,0.9998210547410286,0.14797862144745053,0.1758822150494915,0.023672125870974805,773.15
120373.62111493728,773.2070619561621,280.0,972.0,13496966.651309974,57.18158960874626,5.298568445837407,10689713.171452804,2887.1416267041473,2.155999999999998,2320022.683891925,0.95,0.001981566709669031,771.9017665877678,-0.8840972185907278,20.02134125491783,2583.943773014146,0.00224134480688413,1184.8284238699737,555.2341123905964,0.8871959401586331,487230.79596524546,0.9998735663689896,0.14090359685368542,0.18989186565064847,0.016725082594665416,773.15
183952.02532256534,773.1833744516468,290.0,972.0,21957245.22796051,75.93286788982724,8.498095698917366,17403468.19619243,2743.062629040861,2.155999999999998,3777477.300188829,0.95,0.0032236684955832514,771.8870617213703,-1.4382742386097778,20.02134125491783,3181.848144690586,0.00224134480688413,1175.9874516840664,904.0638669486578,0.8864173575213414,776299.7315792532,0.9999223484314768,0.13382857225992034,0.20970753274733878,0.010271770312479304,773.15
378309.5058766972,773.163801993325,300.0,972.0,48845420.7111386,114.4000870901653,18.71637988930658,38763521.14584618,2598.8463252817764,2.155999999999998,8414378.309333494,0.95,0.0071712750058233465,771.8746925561985,-3.199541178937435,20.02134125491783,4155.390162842109,0.00224134480688413,1161.6047092979686,2013.8656936806772,0.8852233524306383,1667521.2559589213,0.9999651399397463,0.12675354766617267,0.2419442177031713,0.004611199454982585,773.15
2203109.540060681,773.1516760754826,310.0,972.0,329755011.2842864,245.21762413263784,125.98071370536695,262427501.88155505,2454.49993428348,2.155999999999998,56967639.39222601,0.95,0.048413215323759994,771.866776072498,-21.60007472971685,20.02134125491783,6324.023312985853,0.00224134480688413,1129.6092975085942,13634.646268708768,0.8826876298083574,10359870.01050528,0.9999948510198962,0.11967852307240757,0.3136569677614047,0.0006810837777596339,773.15
